Auxiliary,Transitivity,Tense,ParticipleLemma,Count
ēstādan,transitive,Pres,gumēxtan,25
ēstādan,transitive,Pres,abgandan,7
ēstādan,transitive,Pres,āzārdan,1
ēstādan,transitive,Pres,kirdan,276
ēstādan,transitive,Pres,guftan,134
ēstādan,transitive,Pres,āfrīdan,3
ēstādan,transitive,Pres,dādan,119
ēstādan,transitive,Pres,āšnūdan,1
ēstādan,transitive,Pres,nibištan,19
ēstādan,transitive,Pres,āstardan,2
ēstādan,transitive,Pres,stadan,10
ēstādan,transitive,Pres,padīriftan,8
ēstādan,transitive,Pres,stūdan,5
ēstādan,transitive,Pres,payrāstan,2
ēstādan,transitive,Pres,framūdan,14
ēstādan,transitive,Pres,abzistan,1
ēstādan,transitive,Pres,parwast,2
ēstādan,transitive,Pres,abyōxtan,4
ēstādan,transitive,Pres,āfurrīdan,1
ēstādan,transitive,Pres,abzīdan,1
ēstādan,transitive,Pres,pādan2,1
ēstādan,transitive,Pres,frawārdan,1
ēstādan,transitive,Pres,kirrēnīdan,7
ēstādan,transitive,Pres,baxtan,9
ēstādan,transitive,Pres,winnārdan,18
ēstādan,transitive,Pres,gumārdan,11
ēstādan,transitive,Pres,burdan,10
ēstādan,transitive,Pres,handōxtan,7
ēstādan,transitive,Pres,yaštan,4
ēstādan,transitive,Pres,brēhēnīdan,4
ēstādan,transitive,Pres,paywastan,51
ēstādan,transitive,Pres,pēsīdan,2
ēstādan,transitive,Pres,dōšīdan,4
ēstādan,transitive,Pres,abāgēnīdan,5
ēstādan,transitive,Pres,bastan,37
ēstādan,transitive,Pres,paydāgēnīdan,8
ēstādan,transitive,Pres,nihādan,20
ēstādan,transitive,Pres,nizārēnīdan,1
ēstādan,transitive,Pres,ārāstan,7
ēstādan,transitive,Pres,wizīdan,3
ēstādan,transitive,Pres,dāštan,16
ēstādan,transitive,Pres,abespurdan,1
ēstādan,transitive,Pres,parwastan,1
ēstādan,transitive,Pres,ālūdan,1
ēstādan,transitive,Pres,hangārdan,1
ēstādan,transitive,Pres,frēftan,2
ēstādan,transitive,Pres,windādan,4
ēstādan,transitive,Pres,appārēnīdan,1
ēstādan,transitive,Pres,zēnēnīdan1,1
ēstādan,transitive,Pres,srūdan,7
ēstādan,transitive,Pres,xwardan,1
ēstādan,transitive,Pres,bōzēnīdan,1
ēstādan,transitive,Pres,nimūdan,9
ēstādan,transitive,Pres,nihuftan,6
ēstādan,transitive,Pres,xwāstan,3
ēstādan,transitive,Pres,griftan,4
ēstādan,transitive,Pres,xwārīdan,4
ēstādan,transitive,Pres,šustan,3
ēstādan,transitive,Pres,kištan,2
ēstādan,transitive,Pres,gazīdan,3
ēstādan,transitive,Pres,wirāstan,4
ēstādan,transitive,Pres,āhōgēnīdan,6
ēstādan,transitive,Pres,abrōxtan,3
ēstādan,transitive,Pres,warzīdan,3
ēstādan,transitive,Pres,nišāstan,5
ēstādan,transitive,Pres,afsūdan,6
ēstādan,transitive,Pres,pālūdan,2
ēstādan,transitive,Pres,hištan,3
ēstādan,transitive,Pres,zādan,3
ēstādan,transitive,Pres,čāštan,3
ēstādan,transitive,Pres,madan1,2
ēstādan,transitive,Pres,wizārdan2,5
ēstādan,transitive,Pres,rāyēnīdan,2
ēstādan,transitive,Pres,kandan,2
ēstādan,transitive,Pres,āwištan,4
ēstādan,transitive,Pres,afsardan,2
ēstādan,transitive,Pres,wizūdan,1
ēstādan,transitive,Pres,čīdan1,2
ēstādan,transitive,Pres,sāxtan,32
ēstādan,transitive,Pres,šnāxtan,1
ēstādan,transitive,Pres,nāmēnīdan,2
ēstādan,transitive,Pres,wizīrēnīdan,4
ēstādan,transitive,Pres,dānistan,1
ēstādan,transitive,Pres,wīdwarēnīdan,1
ēstādan,transitive,Pres,passandīdan,1
ēstādan,transitive,Pres,ōbastan,3
ēstādan,transitive,Pres,hammōxtan1,10
ēstādan,transitive,Pres,bištan,2
ēstādan,transitive,Pres,gādan,1
ēstādan,transitive,Pres,āšiftan,1
ēstādan,transitive,Pres,wisistan,1
ēstādan,transitive,Pres,zadan,2
ēstādan,transitive,Pres,nišastan,2
ēstādan,transitive,Pres,āwurdan,2
ēstādan,transitive,Pres,wišuftan,4
ēstādan,transitive,Pres,poxtan,2
ēstādan,transitive,Pres,āmēxtan,1
ēstādan,transitive,Pres,pahikōftan,1
ēstādan,transitive,Pres,widāxtan,2
ēstādan,transitive,Pres,wimuštan,1
ēstādan,transitive,Pres,rēxtan,1
ēstādan,transitive,Pres,rištan,2
ēstādan,transitive,Pres,rustan,1
ēstādan,transitive,Pres,nihuft,1
ēstādan,transitive,Past,handāxtan,2
ēstādan,transitive,Past,āfurrīdan,1
ēstādan,transitive,Past,ōbārdan,1
ēstādan,transitive,Past,kirdan,13
ēstādan,transitive,Past,rāyēnīdan,2
ēstādan,transitive,Past,payrāstan,1
ēstādan,transitive,Past,nibištan,2
ēstādan,transitive,Past,dāštan,3
ēstādan,transitive,Past,rustan,1
ēstādan,transitive,Past,niwistan,1
ēstādan,transitive,Past,windādan,1
ēstādan,transitive,Past,winnārdan,2
ēstādan,transitive,Past,bastan,2
ēstādan,transitive,Past,gumēxtan,9
ēstādan,transitive,Past,dādan,8
ēstādan,transitive,Past,paywastan,1
ēstādan,transitive,Past,padīriftan,3
ēstādan,transitive,Past,griftan,1
ēstādan,transitive,Past,appurdan,1
ēstādan,transitive,Past,paydāgēnīdan,1
ēstādan,transitive,Past,parwastan,2
ēstādan,transitive,Past,guftan,1
ēstādan,transitive,Past,rānēnīdan,1
ēstādan,transitive,Past,āwurdan,1
ēstādan,transitive,Past,gumārdan,1
ēstādan,transitive,Past,padistādan,1
ēstādan,transitive,Past,hambārdan,2
ēstādan,transitive,Past,zādan,2
ēstādan,transitive,Unknown,dādan,1
ēstādan,intransitive,Pres,madan1,113
ēstādan,intransitive,Pres,šudan,5
ēstādan,intransitive,Pres,windistan,2
ēstādan,intransitive,Pres,widardan,2
ēstādan,intransitive,Pres,āmadan,5
ēstādan,intransitive,Pres,kaftan,1
ēstādan,intransitive,Pres,rustan,42
ēstādan,intransitive,Pres,māndan1,5
ēstādan,intransitive,Pres,pādan1,1
ēstādan,intransitive,Pres,ǰastan,3
ēstādan,intransitive,Pres,wisistan,3
ēstādan,intransitive,Pres,taxtan,3
ēstādan,intransitive,Pres,būdan,24
ēstādan,intransitive,Pres,§,2
ēstādan,intransitive,Pres,xuftan,7
ēstādan,intransitive,Pres,wihistan,1
ēstādan,intransitive,Pres,ēstādan,2
ēstādan,intransitive,Pres,raftan1,5
ēstādan,intransitive,Pres,gaštan,2
ēstādan,intransitive,Pres,nišastan,1
ēstādan,intransitive,Pres,wihīdan,1
ēstādan,intransitive,Pres,zādan,2
ēstādan,intransitive,Pres,hambastan2,1
ēstādan,intransitive,Pres,wīdwarēnīdan,1
ēstādan,intransitive,Pres,mānistan,1
ēstādan,intransitive,Pres,uzīdan,1
ēstādan,intransitive,Pres,wālīdan,1
ēstādan,intransitive,Pres,rasīdan,2
ēstādan,intransitive,Pres,māndan,1
ēstādan,intransitive,Pres,waštan,2
ēstādan,intransitive,Past,māndan1,2
ēstādan,intransitive,Past,widardan,3
ēstādan,intransitive,Past,madan1,8
ēstādan,intransitive,Past,būdan,3
ēstādan,intransitive,Past,rustan,1
ēstādan,intransitive,Past,raftan,1
h-,transitive,Pres,nibištan,4
h-,transitive,Pres,hištan,10
h-,transitive,Pres,kirdan,90
h-,transitive,Pres,bastan,8
h-,transitive,Pres,dānistan,5
h-,transitive,Pres,kandan,1
h-,transitive,Pres,nišastan,1
h-,transitive,Pres,andarzēnīdan,1
h-,transitive,Pres,wišūdan,1
h-,transitive,Pres,dādan,42
h-,transitive,Pres,frēstīdan,1
h-,transitive,Pres,ōbastan,2
h-,transitive,Pres,frēftan,1
h-,transitive,Pres,paywastan,6
h-,transitive,Pres,šnāxtan,3
h-,transitive,Pres,bištan,3
h-,transitive,Pres,wurrawēnīdan,1
h-,transitive,Pres,āhōgēnīdan,4
h-,transitive,Pres,dōšīdan,1
h-,transitive,Pres,xwāstan,3
h-,transitive,Pres,dāštan,8
h-,transitive,Pres,burzīdan,3
h-,transitive,Pres,ēstēnīdan,3
h-,transitive,Pres,gumārdan,8
h-,transitive,Pres,brēhēnīdan,9
h-,transitive,Pres,gumēxtan,5
h-,transitive,Pres,baxtan,5
h-,transitive,Pres,burdan,4
h-,transitive,Pres,dīdan,8
h-,transitive,Pres,guftan,10
h-,transitive,Pres,handāxtan,3
h-,transitive,Pres,kōxšīdan,6
h-,transitive,Pres,winnārdan,7
h-,transitive,Pres,bōxtan,3
h-,transitive,Pres,pālūdan,6
h-,transitive,Pres,wiškīdan,3
h-,transitive,Pres,nihuftan,4
h-,transitive,Pres,windādan,3
h-,transitive,Pres,ōzadan,3
h-,transitive,Pres,xwardan,3
h-,transitive,Pres,wāzīdan,3
h-,transitive,Pres,zādan,17
h-,transitive,Pres,tazēnīdan,2
h-,transitive,Pres,nišāstan,2
h-,transitive,Pres,wālīdan,1
h-,transitive,Pres,zadan,2
h-,transitive,Pres,stadan,2
h-,transitive,Pres,padīriftan,5
h-,transitive,Pres,pursīdan,1
h-,transitive,Pres,rēxtan,3
h-,transitive,Pres,nihādan,2
h-,transitive,Pres,passandīdan,2
h-,transitive,Pres,stūdan,2
h-,transitive,Pres,ayāftan,5
h-,transitive,Pres,rōšnēnīdan,2
h-,transitive,Pres,nimūdan,2
h-,transitive,Pres,rāyēnīdan,2
h-,transitive,Pres,menīdan,10
h-,transitive,Pres,tāšīdan,4
h-,transitive,Pres,parwardan,1
h-,transitive,Pres,rānagēnīdan,1
h-,transitive,Pres,hunīdan,8
h-,transitive,Pres,griftan,2
h-,transitive,Pres,handōxtan,1
h-,transitive,Pres,škastan,1
h-,transitive,Pres,āwurdan,1
h-,transitive,Pres,šnāzīdan,2
h-,transitive,Pres,frēstādan,2
h-,transitive,Pres,wišādan,1
h-,transitive,Pres,widārdan,2
h-,transitive,Pres,yaštan,2
h-,transitive,Pres,xwandan,2
h-,transitive,Pres,ānīd,1
h-,transitive,Past,wardēnīdan,1
h-,transitive,Past,hāxtan,1
h-,intransitive,Pres,madan1,42
h-,intransitive,Pres,āmadan,12
h-,intransitive,Pres,šāyistan,4
h-,intransitive,Pres,būdan,157
h-,intransitive,Pres,nišastan,8
h-,intransitive,Pres,māndan1,4
h-,intransitive,Pres,waštan,14
h-,intransitive,Pres,nirfsīdan,1
h-,intransitive,Pres,wābarīhistan,1
h-,intransitive,Pres,nihaxtan,1
h-,intransitive,Pres,šudan,34
h-,intransitive,Pres,rustan,19
h-,intransitive,Pres,gumēxtan,4
h-,intransitive,Pres,nibastan,1
h-,intransitive,Pres,bōzīhistan,1
h-,intransitive,Pres,raftan1,17
h-,intransitive,Pres,ēstādan,26
h-,intransitive,Pres,dwāristan,14
h-,intransitive,Pres,ǰastan,12
h-,intransitive,Pres,taxtan,13
h-,intransitive,Pres,waxšīdan,14
h-,intransitive,Pres,šnāzīdan,1
h-,intransitive,Pres,tēzistan,2
h-,intransitive,Pres,murdan,7
h-,intransitive,Pres,tuwānistan,3
h-,intransitive,Pres,absistan,6
h-,intransitive,Pres,ōbastan,3
h-,intransitive,Pres,zīwistan,3
h-,intransitive,Pres,zādan,8
h-,intransitive,Pres,xuftan,2
h-,intransitive,Pres,sahistan,4
h-,intransitive,Pres,hambūstan,6
h-,intransitive,Pres,abesīhīdan,2
h-,intransitive,Pres,widardan,4
h-,intransitive,Pres,abāyistan,3
h-,intransitive,Pres,saxtan1,2
h-,intransitive,Pres,padīdan,1
h-,intransitive,Pres,hampursīdan,2
h-,intransitive,Pres,xwistan1,2
h-,intransitive,Pres,ēstīdan,2
h-,intransitive,Pres,madan,20
h-,intransitive,Pres,hamkārīhīdan,4
h-,intransitive,Pres,zanīhistan,2
h-,intransitive,Pres,raftan,6
h-,intransitive,Pres,wazīdan,2
h-,intransitive,Pres,tarsistan,2
h-,intransitive,Past,šudan,1
būdan,transitive,Pres,nibištan,4
būdan,transitive,Pres,dāštan,8
būdan,transitive,Pres,wirāstan,2
būdan,transitive,Pres,kirdan,110
būdan,transitive,Pres,parwast,2
būdan,transitive,Pres,winnārdan,2
būdan,transitive,Pres,ōbastan,2
būdan,transitive,Pres,bastan,4
būdan,transitive,Pres,rēxtan,1
būdan,transitive,Pres,paywastan,5
būdan,transitive,Pres,ōzadan,1
būdan,transitive,Pres,ēstēnīdan,2
būdan,transitive,Pres,ayārēnīdan,6
būdan,transitive,Pres,rādēnīdan,2
būdan,transitive,Pres,waxšēnīdan,1
būdan,transitive,Pres,wizūdan,3
būdan,transitive,Pres,rōšnēnīdan,1
būdan,transitive,Pres,zōrēnīdan,2
būdan,transitive,Pres,nāmēnīdan,1
būdan,transitive,Pres,burzēnīdan,1
būdan,transitive,Pres,bištan,13
būdan,transitive,Pres,šnāyēnīdan,13
būdan,transitive,Pres,murnǰēnīdan,2
būdan,transitive,Pres,rāmēnīdan,1
būdan,transitive,Pres,guftan,14
būdan,transitive,Pres,hištan,3
būdan,transitive,Pres,nigēzīdan,1
būdan,transitive,Pres,dādan,12
būdan,transitive,Pres,stadan,1
būdan,transitive,Pres,nihādan,2
būdan,transitive,Pres,padīriftan,1
būdan,transitive,Pres,yaštan,1
būdan,transitive,Pres,paydāgēnīdan,1
būdan,transitive,Pres,sāxtan,2
būdan,transitive,Pres,čāštan,9
būdan,transitive,Pres,abzāyēnīdan,2
būdan,transitive,Pres,frēftan,2
būdan,transitive,Pres,franāftan,1
būdan,transitive,Pres,wišādan,1
būdan,transitive,Pres,ayāftan,1
būdan,transitive,Pres,gumēxtan,1
būdan,transitive,Pres,nigānēnīdan,1
būdan,transitive,Past,ārāstan,2
būdan,transitive,Past,kirdan,10
būdan,transitive,Past,abyōxtan,1
būdan,transitive,Past,zādan,1
būdan,transitive,Past,bastan,1
būdan,transitive,Past,guftan,10
būdan,transitive,Past,šnāyēnīdan,1
būdan,transitive,Past,dādan,10
būdan,transitive,Past,ōzadan,1
būdan,transitive,Past,griftan,1
būdan,transitive,Past,xwardan,1
būdan,transitive,Past,zadan,1
būdan,transitive,Past,paydāgēnīdan,2
būdan,transitive,Past,paymōxtan,2
būdan,transitive,Past,nimūdan,1
būdan,intransitive,Pres,abzūdan,1
būdan,intransitive,Pres,būdan,4
būdan,intransitive,Pres,taxtan,1
būdan,intransitive,Pres,madan1,1
būdan,intransitive,Pres,hampursīdan,1
būdan,intransitive,Pres,frōdmurdan,1
būdan,intransitive,Pres,widardan,8
būdan,intransitive,Past,madan1,4
būdan,intransitive,Past,ǰastan,3
būdan,intransitive,Past,taxtan,2
būdan,intransitive,Past,uzīdan,2
būdan,intransitive,Past,madan,4
būdan,intransitive,Past,šudan,4
būdan,intransitive,Past,murdan,2
būdan,intransitive,Past,xwistan1,1
