Auxiliary,Transitivity,Phrase,Count
ēstādan,transitive,gumēxtan ēstādan,12
ēstādan,transitive,abgandan ēstādan,2
ēstādan,transitive,āzārdan ēstādan,1
ēstādan,transitive,kirdan ēstādan,31
ēstādan,transitive,handāxtan ēstādan,1
ēstādan,transitive,dādan ēstādan,22
ēstādan,transitive,guftan ēstādan,39
ēstādan,transitive,āfurrīdan ēstādan,1
ēstādan,transitive,āstardan ēstādan,1
ēstādan,transitive,stūdan ēstādan,3
ēstādan,transitive,framūdan ēstādan,4
ēstādan,transitive,frawārdan ēstādan,1
ēstādan,transitive,kirrēnīdan ēstādan,2
ēstādan,transitive,baxtan ēstādan,4
ēstādan,transitive,winnārdan ēstādan,6
ēstādan,transitive,gumārdan ēstādan,3
ēstādan,transitive,handōxtan ēstādan,4
ēstādan,transitive,nē kirdan ēstādan,5
ēstādan,transitive,yaštan ēstādan,1
ēstādan,transitive,nē brēhēnīdan ēstādan,1
ēstādan,transitive,brēhēnīdan ēstādan,2
ēstādan,transitive,ōbārdan ēstādan,1
ēstādan,transitive,tāšīdan ēstādan,1
ēstādan,transitive,nibištan ēstādan,2
ēstādan,transitive,paydāgēnīdan ēstādan,2
ēstādan,transitive,nihādan ēstādan,6
ēstādan,transitive,dāštan ēstādan,8
ēstādan,transitive,nizārēnīdan ēstādan,1
ēstādan,transitive,ārāstan ēstādan,3
ēstādan,transitive,wizīdan ēstādan,2
ēstādan,transitive,nē guftan ēstādan,2
ēstādan,transitive,nē dāštan ēstādan,1
ēstādan,transitive,padīriftan ēstādan,3
ēstādan,transitive,abespurdan ēstādan,1
ēstādan,transitive,abyōxtan ēstādan,1
ēstādan,transitive,parwastan ēstādan,3
ēstādan,transitive,ālūdan ēstādan,1
ēstādan,transitive,hangārdan ēstādan,1
ēstādan,transitive,niwistan ēstādan,1
ēstādan,transitive,paymōxtan ēstādan,1
ēstādan,transitive,griftan ēstādan,1
ēstādan,transitive,paywastan ēstādan,12
ēstādan,transitive,bastan ēstādan,6
ēstādan,transitive,nē gumēxtan ēstādan,1
ēstādan,transitive,paywastan ēstādan ham,1
ēstādan,transitive,xwārīdan ēstādan,1
ēstādan,transitive,bē dādan ēstādan,2
ēstādan,transitive,šustan ēstādan,1
ēstādan,transitive,pālūdan ēstādan,1
ēstādan,transitive,wirāstan ēstādan,1
ēstādan,transitive,burdan ēstādan,3
ēstādan,transitive,abrōxtan ēstādan,1
ēstādan,transitive,nihuftan ēstādan,1
ēstādan,transitive,warzīdan ēstādan,1
ēstādan,transitive,rāyēnīdan ēstādan,1
ēstādan,transitive,nē xwārīdan ēstādan,1
ēstādan,transitive,nē yaštan ēstādan,1
ēstādan,transitive,nē dādan ēstādan,2
ēstādan,transitive,dānistan ēstādan,1
ēstādan,transitive,nimūdan ēstādan,2
ēstādan,transitive,abāgēnīdan ēstādan,1
ēstādan,transitive,āwištan ēstādan,1
ēstādan,transitive,nāmēnīdan ēstādan,1
ēstādan,transitive,wizīrēnīdan ēstādan,4
ēstādan,transitive,passandīdan ēstādan,2
ēstādan,transitive,madan1 ēstādan,1
ēstādan,transitive,dōšīdan ēstādan,1
ēstādan,transitive,āwurdan ēstādan,1
ēstādan,transitive,nē paywastan ēstādan,1
ēstādan,transitive,padistādan ēstādan,1
ēstādan,transitive,hambārdan ēstādan,1
ēstādan,transitive,zādan ēstādan,1
ēstādan,transitive,rustan ēstādan,1
ēstādan,transitive,ham gumēxtan ēstādan,1
ēstādan,transitive,nišastan ēstādan,1
ēstādan,transitive,srūdan ēstādan,2
ēstādan,transitive,nišāstan ēstādan,1
ēstādan,intransitive,madan1 ēstādan,17
ēstādan,intransitive,bē šudan ēstādan,1
ēstādan,intransitive,rustan ēstādan,12
ēstādan,intransitive,nē madan1 ēstādan,7
ēstādan,intransitive,māndan1 ēstādan,1
ēstādan,intransitive,pādan1 ēstādan,1
ēstādan,intransitive,ēstādan ēstādan,2
ēstādan,intransitive,dwāristan ēstādan,1
ēstādan,intransitive,nē pargūdan ēstādan,1
ēstādan,intransitive,widardan ēstādan,1
ēstādan,intransitive,ǰastan ēstādan,1
ēstādan,intransitive,wisistan ēstādan,1
ēstādan,intransitive,taxtan ēstādan,1
ēstādan,intransitive,būdan ēstādan,6
ēstādan,intransitive,xuftan ēstādan,3
ēstādan,intransitive,nišastan ēstādan,1
ēstādan,intransitive,be būdan ēstādan,1
ēstādan,intransitive,wīdwarēnīdan ēstādan,1
ēstādan,intransitive,āmadan ēstādan,2
ēstādan,intransitive,zādan ēstādan,1
ēstādan,unknown,gyāg ēstādan,1
ēstādan,unknown,ōy ēstādan,1
h-,intransitive,āmadan h-,4
h-,intransitive,būdan h-,26
h-,intransitive,māndan1 h-,2
h-,intransitive,nē šāyistan h-,2
h-,intransitive,nē madan1 h-,1
h-,intransitive,madan1 h-,13
h-,intransitive,waštan h-,5
h-,intransitive,nirfsīdan h-,1
h-,intransitive,ēstādan h-,7
h-,intransitive,raftan1 h-,5
h-,intransitive,rustan h-,7
h-,intransitive,nē raftan1 h-,1
h-,intransitive,hamēw būdan h-,1
h-,intransitive,be hambūsīdan h-,1
h-,intransitive,gumēxtan h-,1
h-,intransitive,hamkōxšīdan h-,1
h-,intransitive,nē būdan h-,2
h-,intransitive,dwāristan h-,4
h-,intransitive,ǰastan h-,4
h-,intransitive,šudan h-,9
h-,intransitive,taxtan h-,2
h-,intransitive,waxšīdan h-,4
h-,intransitive,nē tēzistan h-,1
h-,intransitive,bē taxtan h-,2
h-,intransitive,bē raftan1 h-,2
h-,intransitive,be murdan h-,1
h-,intransitive,be raftan1 h-,1
h-,intransitive,nē bē waštan h-,1
h-,intransitive,nē nišastan h- nē,1
h-,intransitive,absistan h-,1
h-,intransitive,ēstišn h-,1
h-,intransitive,nišastan h-,1
h-,intransitive,be ēstādan h-,2
h-,intransitive,nē saxtan1 h-,1
h-,intransitive,abāyistan h-,2
h-,intransitive,ham bē h- h-,1
h-,intransitive,ēstīdan h-,1
h-,intransitive,bē būdan h-,2
h-,intransitive,ham madan h-,1
h-,intransitive,madan h-,4
h-,intransitive,hamkārīhīdan h-,1
h-,intransitive,be zanīhistan h-,1
h-,intransitive,murdan h-,2
h-,intransitive,bē āmadan h-,1
h-,intransitive,raftan h-,3
h-,intransitive,wazīdan h-,1
h-,intransitive,hamēw šudan h-,2
h-,intransitive,be nišastan h-,1
h-,intransitive,be tarsistan h-,1
h-,intransitive,h- h-,1
h-,unknown,weh h-,1
h-,unknown,gētī h-,1
h-,unknown,ān h-,1
h-,unknown,h- kay2,1
h-,unknown,zamān h-,1
h-,unknown,ǰud h-,1
h-,unknown,atazišn h-,1
h-,unknown,ǰuxt h-,1
h-,unknown,nām h-,1
h-,unknown,h- čiyōn,1
h-,unknown,kē h-,1
h-,unknown,zan h-,1
h-,unknown,nē tuwān h-,1
h-,unknown,axwāstār h-,3
h-,unknown,čimīg h-,1
h-,unknown,hamdādestān h-,2
h-,unknown,sīrgān h-,1
h-,unknown,hangird h-,1
h-,unknown,kamranǰ h-,1
h-,unknown,h- dēn,1
h-,unknown,bālist h-,1
h-,unknown,h- tašt,1
h-,unknown,bastag h-,1
h-,unknown,nišastag h-,1
h-,unknown,āšnāg h-,1
h-,unknown,daxšag h-,1
h-,unknown,wehzīwišn h-,2
h-,transitive,wišūdan h-,1
h-,transitive,dādan h-,9
h-,transitive,kirdan h-,8
h-,transitive,frēstīdan h-,2
h-,transitive,ēraxtan1 h-,1
h-,transitive,xwāstan h-,3
h-,transitive,nē paywastan h-,1
h-,transitive,nē burzīdan h-,1
h-,transitive,ēstēnīdan h-,1
h-,transitive,gumārdan h-,3
h-,transitive,brēhēnīdan h-,5
h-,transitive,nē gumēxtan h-,1
h-,transitive,baxtan h-,2
h-,transitive,agārēnīdan h-,1
h-,transitive,kōxšīdan h-,3
h-,transitive,burdan h-,1
h-,transitive,bastan h-,2
h-,transitive,bē guftan h-,1
h-,transitive,bē nē dānistan h-,1
h-,transitive,handāxtan h-,1
h-,transitive,be winnārdan h-,1
h-,transitive,winnārdan h-,1
h-,transitive,nē kirdan h-,1
h-,transitive,guftan h-,4
h-,transitive,bōxtan h-,1
h-,transitive,tazēnīdan h-,1
h-,transitive,be pālūdan h-,2
h-,transitive,wiškīdan h-,1
h-,transitive,nē dādan h-,2
h-,transitive,bē dādan h-,1
h-,transitive,nē hištan h-,1
h-,transitive,be āhōgēnīdan h-,1
h-,transitive,nihuftan h-,1
h-,transitive,bē hištan h-,1
h-,transitive,windādan h-,1
h-,transitive,bē nē dādan h-,1
h-,transitive,gumēxtan h-,1
h-,transitive,sāxtan h-,1
h-,transitive,ōzadan h-,1
h-,transitive,hištan h-,1
h-,transitive,nē zadan h-,1
h-,transitive,zadan h-,1
h-,transitive,stadan h-,1
h-,transitive,be zādan h-,1
h-,transitive,nibištan h-,1
h-,transitive,nihādan h-,1
h-,transitive,passandīdan h-,1
h-,transitive,h- kirdan,1
h-,transitive,stūdan h-,1
h-,transitive,ayāftan h-,2
h-,transitive,rōšnēnīdan h-,1
h-,transitive,bē nimūdan h-,1
h-,transitive,rāyēnīdan h-,1
h-,transitive,hamēw menīdan h-,1
h-,transitive,dīdan h-,2
h-,transitive,šnāxtan h-,1
h-,transitive,menīdan h-,1
h-,transitive,hunīdan h-,1
h-,transitive,dāštan h-,2
h-,transitive,tāšīdan h-,2
h-,transitive,zādan h-,2
h-,transitive,šnāzīdan h-,1
h-,transitive,āwurdan h-,1
h-,transitive,frēstādan h-,1
h-,transitive,wišādan h-,1
h-,transitive,nē ayāftan h-,1
h-,transitive,bē abgandan h-,1
h-,transitive,be widārdan h-,1
h-,transitive,nē yaštan h-,1
h-,transitive,nē guhrādan h-,3
h-,transitive,xwandan h-,2
h-,transitive,nē winnārdan h-,1
būdan,unknown,stāyīdār būdan,1
būdan,unknown,ēdōn būdan,1
būdan,unknown,tuwān būdan,1
būdan,unknown,nē tuwān būdan,6
būdan,unknown,āmārīhā būdan,1
būdan,transitive,dāštan būdan,1
būdan,transitive,wirāstan būdan,1
būdan,transitive,kirdan būdan,4
būdan,transitive,ōzadan būdan,1
būdan,transitive,dādan būdan,4
būdan,transitive,brēhēnīdan būdan,1
būdan,transitive,guftan būdan,5
būdan,transitive,wisāndan būdan,1
būdan,transitive,murnǰēnīdan būdan,1
būdan,transitive,rāmēnīdan būdan,1
būdan,transitive,bištan būdan,4
būdan,transitive,šnāyēnīdan būdan,4
būdan,transitive,bē dādan būdan,1
būdan,transitive,be griftan būdan,1
būdan,transitive,abzāyišn būdan,1
būdan,transitive,paydāgēnīdan būdan,2
būdan,intransitive,madan1 būdan,1
būdan,intransitive,hamkōxšīdan būdan,1
būdan,intransitive,ǰastan būdan,1
būdan,intransitive,bē taxtan būdan,1
būdan,intransitive,šudan būdan,2
būdan,intransitive,madan būdan,1
būdan,intransitive,būdan būdan,1
